[2019-02-20T10:46:37.047] [INFO] default - [::ffff:127.0.0.1 GET / 200 5ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-02-20T10:46:37.065] [INFO] default - [::ffff:127.0.0.1 GET /js/app.292fee5e.js 200 2ms][http://localhost:9090/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-02-20T10:46:37.066] [INFO] default - [::ffff:127.0.0.1 GET /js/chunk-vendors.ecfdb737.js 200 4ms][http://localhost:9090/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-02-20T10:46:37.122] [INFO] default - [::ffff:127.0.0.1 GET /getFromHistory 200 25ms][http://localhost:9090/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-02-20T10:46:37.124] [INFO] default - [::ffff:127.0.0.1 GET /getToHistory 200 26ms][http://localhost:9090/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-02-20T10:46:37.321] [INFO] default - [::ffff:127.0.0.1 GET /favicon.ico 404 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-02-20T10:46:38.117] [ERROR] default - request response, url: http://localhost:8081/getLastestBlock, put request data: {}, err: Error: connect ECONNREFUSED 127.0.0.1:8081
[2019-02-20T10:46:38.118] [INFO] default - [::ffff:127.0.0.1 GET /getLastestBlock?url=http:%2F%2Flocalhost:8081 200 1014ms][http://localhost:9090/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-02-20T10:46:38.126] [ERROR] default - request response, url: http://localhost:8080/getLastestBlock, put request data: {}, err: Error: connect ECONNREFUSED 127.0.0.1:8080
[2019-02-20T10:46:38.127] [INFO] default - [::ffff:127.0.0.1 GET /getLastestBlock?url=http:%2F%2Flocalhost:8080 200 1023ms][http://localhost:9090/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-02-20T10:46:40.552] [ERROR] default - request response, url: http://localhost:8081/getLastestBlock, put request data: {}, err: Error: connect ECONNREFUSED 127.0.0.1:8081
[2019-02-20T10:46:40.554] [INFO] default - [::ffff:127.0.0.1 GET /getLastestBlock?url=http:%2F%2Flocalhost:8081 304 1007ms][http://localhost:9090/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-02-20T10:46:40.556] [ERROR] default - request response, url: http://localhost:8080/getLastestBlock, put request data: {}, err: Error: connect ECONNREFUSED 127.0.0.1:8080
[2019-02-20T10:46:40.557] [INFO] default - [::ffff:127.0.0.1 GET /getLastestBlock?url=http:%2F%2Flocalhost:8080 304 1009ms][http://localhost:9090/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-02-20T10:46:42.981] [ERROR] default - request response, url: http://localhost:8080/getLastestBlock, put request data: {}, err: Error: connect ECONNREFUSED 127.0.0.1:8080
[2019-02-20T10:46:42.983] [INFO] default - [::ffff:127.0.0.1 GET /getLastestBlock?url=http:%2F%2Flocalhost:8080 304 1001ms][http://localhost:9090/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-02-20T10:46:42.993] [ERROR] default - request response, url: http://localhost:8081/getLastestBlock, put request data: {}, err: Error: connect ECONNREFUSED 127.0.0.1:8081
[2019-02-20T10:46:42.995] [INFO] default - [::ffff:127.0.0.1 GET /getLastestBlock?url=http:%2F%2Flocalhost:8081 304 1013ms][http://localhost:9090/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:65.0) Gecko/20100101 Firefox/65.0]
