[2019-05-21T08:54:43.481] [ERROR] loggerConsensus - Ripple handleMessage, address d71ea644d8e3802b6a42987babdc2cde3cde9d28 is not consensus, block agreement stage is not over
[2019-05-21T08:54:43.578] [ERROR] loggerConsensus - Ripple handleMessage, address d71ea644d8e3802b6a42987babdc2cde3cde9d28 is not consensus, candidate agreement stage is not over
[2019-05-21T08:54:43.609] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 1, stage: 1
[2019-05-21T08:54:43.661] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:43.673] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:43.688] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:43.707] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:43.711] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:43.734] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:43.744] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:43.748] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:43.758] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:43.762] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:43.766] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:43.770] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:43.776] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:43.781] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:43.784] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:43.788] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:43.794] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:43.799] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:43.803] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:43.807] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:43.816] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
[2019-05-21T08:54:43.820] [ERROR] loggerConsensus - Counter handleMessage, stage may be invalid, current own round: 2, stage: 1
