[2019-04-03T11:34:58.122] [INFO] default - server listening at http://localhost:8082
[2019-04-03T11:36:10.504] [INFO] default - [127.0.0.1 GET / 200 5ms][ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-04-03T11:36:10.575] [INFO] default - [127.0.0.1 GET /css/app.2ddcaa16.css 200 1ms][http://localhost:8082/ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-04-03T11:36:10.595] [INFO] default - [127.0.0.1 GET /js/chunk-vendors.ecfdb737.js 200 1ms][http://localhost:8082/ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-04-03T11:36:10.621] [INFO] default - [127.0.0.1 GET /js/app.ea9ffd8d.js 200 1ms][http://localhost:8082/ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-04-03T11:36:10.784] [INFO] default - [127.0.0.1 GET /favicon.ico 404 1ms][ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-04-03T11:38:21.491] [INFO] default - server listening at http://localhost:8082
[2019-04-03T11:38:33.376] [INFO] default - [127.0.0.1 GET / 304 5ms][ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-04-03T11:38:33.413] [INFO] default - [127.0.0.1 GET /css/app.2ddcaa16.css 304 1ms][http://localhost:8082/ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-04-03T11:38:33.414] [INFO] default - [127.0.0.1 GET /js/chunk-vendors.ecfdb737.js 304 1ms][http://localhost:8082/ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-04-03T11:38:33.415] [INFO] default - [127.0.0.1 GET /js/app.ea9ffd8d.js 304 1ms][http://localhost:8082/ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
[2019-04-03T11:38:33.752] [INFO] default - [127.0.0.1 GET / 304 0ms][ HTTP/1.1 Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:65.0) Gecko/20100101 Firefox/65.0]
